section,method,k,macro_recall,hit_any,evidence_f
candidate_sparse,candidate_final_sparse_fusion,1,0.08149350649350649,0.18831168831168832,0.1051948051948052
candidate_sparse,candidate_final_sparse_fusion,3,0.1262987012987013,0.2792207792207792,0.11043599257884973
candidate_sparse,candidate_final_sparse_fusion,5,0.166991341991342,0.34415584415584416,0.11048237476808907
candidate_sparse,candidate_final_sparse_fusion,10,0.23722943722943723,0.45454545454545453,0.09968040617391268
candidate_sparse,candidate_final_sparse_fusion,20,0.31266233766233764,0.5584415584415584,0.07656205924698302
candidate_sparse,candidate_final_sparse_fusion,32,0.35454545454545455,0.6168831168831169,0.05863325450796803
candidate_sparse,candidate_final_sparse_fusion,64,0.43463203463203465,0.7272727272727273,0.03778106610700211
candidate_sparse,candidate_final_sparse_fusion,100,0.4882034632034632,0.7727272727272727,0.02791232299347282
candidate_sparse,candidate_final_sparse_fusion,500,0.6754329004329004,0.9025974025974026,0.008273851035835562
top64_selector,top64_embedding_plus_shallow,1,0.1014069264069264,0.22727272727272727,0.12878787878787878
top64_selector,top64_embedding_plus_shallow,3,0.2172077922077922,0.42857142857142855,0.18084415584415584
top64_selector,top64_embedding_plus_shallow,5,0.2668831168831169,0.525974025974026,0.17767470624613482
top64_selector,top64_embedding_plus_shallow,10,0.36666666666666664,0.6818181818181818,0.1506417824599643
top64_selector,top64_embedding_plus_shallow,20,0.45984848484848484,0.7402597402597403,0.11230042214514264
top64_selector,top64_embedding_plus_shallow,32,0.5074675324675325,0.7987012987012987,0.08372619392481882
top64_selector,top64_embedding_plus_shallow,50,0.5574675324675324,0.8571428571428571,0.062108822092678415
top64_selector,top64_embedding_plus_shallow,64,0.5783549783549784,0.8636363636363636,0.05173643362054943
top3_selector,top3_ce_prefilter_fusion,1,0.10768398268398269,0.2597402597402597,0.1406926406926407
top3_selector,top3_ce_prefilter_fusion,3,0.23549783549783548,0.4675324675324675,0.20210265924551638
top3_selector,top3_ce_prefilter_fusion,5,0.29448051948051945,0.538961038961039,0.19416615130900847
top3_selector,top3_ce_prefilter_fusion,10,0.39036796536796536,0.6688311688311688,0.16510740341909172
top3_selector,top3_ce_prefilter_fusion,20,0.4877705627705628,0.7532467532467533,0.11985706463685007
top3_selector,top3_ce_prefilter_fusion,64,0.5887445887445888,0.8571428571428571,0.053076340051600925
top3_selector,top3_ce_prefilter_fusion,100,0.6228354978354979,0.8766233766233766,0.0369069209274281
top3_selector,top3_ce_prefilter_fusion,500,0.6754329004329004,0.9025974025974026,0.008273851035835562
