tune_mode,status,selection_basis,ce_weight,hand_weight,tie_break,candidate_k,fold_count,cv_macro_recall@3,cv_micro_recall@3,cv_hit_any@3,dev_macro_recall@3,dev_micro_recall@3,dev_hit_any@3,cv_macro_recall@10,cv_micro_recall@10,cv_hit_any@10,dev_macro_recall@10,dev_micro_recall@10,dev_hit_any@10,cv_macro_recall@64,cv_micro_recall@64,cv_hit_any@64,dev_macro_recall@64,dev_micro_recall@64,dev_hit_any@64,cv_macro_recall@500,cv_micro_recall@500,cv_hit_any@500,dev_macro_recall@500,dev_micro_recall@500,dev_hit_any@500,eval_k,run_mode
fusion,diagnostic-only,diagnostic_cv,0.0,1.0,min_source_rank,500,5,0.16999999999999998,0.17222222222222222,0.3,,,,0.3,0.3088888888888889,0.4,,,,0.595,0.5955555555555556,0.7,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.0,1.0,ce_rank_first,500,5,0.16999999999999998,0.17222222222222222,0.3,,,,0.3,0.3088888888888889,0.4,,,,0.595,0.5955555555555556,0.7,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.0,1.0,hand_rank_first,500,5,0.16999999999999998,0.17222222222222222,0.3,,,,0.3,0.3088888888888889,0.4,,,,0.595,0.5955555555555556,0.7,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.25,0.75,min_source_rank,500,5,0.12,0.12222222222222223,0.3,,,,0.505,0.5111111111111111,0.6,,,,0.595,0.5955555555555556,0.7,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.25,0.75,ce_rank_first,500,5,0.12,0.12222222222222223,0.3,,,,0.505,0.5111111111111111,0.6,,,,0.595,0.5955555555555556,0.7,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.25,0.75,hand_rank_first,500,5,0.12,0.12222222222222223,0.3,,,,0.505,0.5111111111111111,0.6,,,,0.595,0.5955555555555556,0.7,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.5,0.5,min_source_rank,500,5,0.32,0.32222222222222224,0.5,,,,0.505,0.5111111111111111,0.6,,,,0.675,0.6755555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.5,0.5,ce_rank_first,500,5,0.32,0.32222222222222224,0.5,,,,0.505,0.5111111111111111,0.6,,,,0.675,0.6755555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.5,0.5,hand_rank_first,500,5,0.32,0.32222222222222224,0.5,,,,0.505,0.5111111111111111,0.6,,,,0.675,0.6755555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.75,0.25,min_source_rank,500,5,0.33999999999999997,0.34444444444444444,0.5,0.3,0.2,0.5,0.485,0.48888888888888893,0.6,0.48125,0.3333333333333333,0.625,0.6950000000000001,0.6955555555555556,0.9,0.69375,0.6,0.875,0.78,0.7777777777777778,1.0,0.7999999999999999,0.7333333333333333,1.0,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.75,0.25,ce_rank_first,500,5,0.33999999999999997,0.34444444444444444,0.5,,,,0.485,0.48888888888888893,0.6,,,,0.6950000000000001,0.6955555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,0.75,0.25,hand_rank_first,500,5,0.33999999999999997,0.34444444444444444,0.5,,,,0.485,0.48888888888888893,0.6,,,,0.6950000000000001,0.6955555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,1.0,0.0,min_source_rank,500,5,0.34500000000000003,0.34444444444444444,0.5,,,,0.43,0.4288888888888889,0.7,,,,0.675,0.6755555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,1.0,0.0,ce_rank_first,500,5,0.34500000000000003,0.34444444444444444,0.5,,,,0.43,0.4288888888888889,0.7,,,,0.675,0.6755555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
fusion,diagnostic-only,diagnostic_cv,1.0,0.0,hand_rank_first,500,5,0.34500000000000003,0.34444444444444444,0.5,,,,0.43,0.4288888888888889,0.7,,,,0.675,0.6755555555555556,0.9,,,,0.78,0.7777777777777778,1.0,,,,"[3, 10, 64, 500]",diagnostic
