run_id,run_dir,stage,status,train_context_k,dev_context_k,evidence_token_budget,model_name,model_status,selected_variant,accuracy,macro_f1,macro_recall,micro_f1,assignment_f,harmonic_mean_F_A,model_metrics_path
o_c3_context_k10_c1_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k10_c1_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,10,10,0,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c1p0,0.43506493506493504,0.37572804659498205,0.38121047877145436,0.43506493506493504,0.0931250567614204,0.15341239856792052,round18/outputs/o_classifier/o_c3_context_k10_c1_logreg_bm25_char_rrf_top1000/o_c3_context_k10_c1_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c1p0_metrics.json
o_c3_context_k10_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k10_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,10,10,,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c4p0,0.44805194805194803,0.3953930088625976,0.39223989053616026,0.44805194805194803,0.0931250567614204,0.15420042878130782,round18/outputs/o_classifier/o_c3_context_k10_logreg_bm25_char_rrf_top1000/o_c3_context_k10_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c4p0_metrics.json
o_c3_context_k20_c1_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k20_c1_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,20,20,0,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c1p0,0.44155844155844154,0.37640378417063247,0.38340573356713964,0.44155844155844154,0.07310116572680096,0.12543606048547634,round18/outputs/o_classifier/o_c3_context_k20_c1_logreg_bm25_char_rrf_top1000/o_c3_context_k20_c1_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c1p0_metrics.json
o_c3_context_k3_c1_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k3_c1_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,3,3,0,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c1p0,0.3961038961038961,0.3440010446870203,0.3479860778999947,0.3961038961038961,0.09421768707482993,0.15222659663600574,round18/outputs/o_classifier/o_c3_context_k3_c1_logreg_bm25_char_rrf_top1000/o_c3_context_k3_c1_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c1p0_metrics.json
o_c3_context_k3_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k3_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,3,3,,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c4p0,0.4025974025974026,0.33600246690475166,0.3414501301875764,0.4025974025974026,0.09421768707482993,0.15269985507117517,round18/outputs/o_classifier/o_c3_context_k3_logreg_bm25_char_rrf_top1000/o_c3_context_k3_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c4p0_metrics.json
o_c3_context_k50_c1_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k50_c1_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,50,50,0,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c1p0,0.44805194805194803,0.3946438470066519,0.39877583824857854,0.44805194805194803,0.04301185777827893,0.07848897205653092,round18/outputs/o_classifier/o_c3_context_k50_c1_logreg_bm25_char_rrf_top1000/o_c3_context_k50_c1_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c1p0_metrics.json
o_c3_context_k50_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k50_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,50,50,,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c4p0,0.44805194805194803,0.38384377679267473,0.3861423295605505,0.44805194805194803,0.04301185777827893,0.07848897205653092,round18/outputs/o_classifier/o_c3_context_k50_logreg_bm25_char_rrf_top1000/o_c3_context_k50_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c4p0_metrics.json
o_c3_context_k5_budget120_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k5_budget120_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,5,5,120,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c4p0,0.45454545454545453,0.3968609364289333,0.39444842977841543,0.45454545454545453,0.10931766646052361,0.17624791031729944,round18/outputs/o_classifier/o_c3_context_k5_budget120_logreg_bm25_char_rrf_top1000/o_c3_context_k5_budget120_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c4p0_metrics.json
o_c3_context_k5_budget80_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k5_budget80_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,5,5,80,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c4p0,0.45454545454545453,0.3968609364289333,0.39444842977841543,0.45454545454545453,0.10931766646052361,0.17624791031729944,round18/outputs/o_classifier/o_c3_context_k5_budget80_logreg_bm25_char_rrf_top1000/o_c3_context_k5_budget80_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c4p0_metrics.json
o_c3_context_k5_grid_logreg_bm25_char_rrf_top1000,round18/outputs/o_classifier/o_c3_context_k5_grid_logreg_bm25_char_rrf_top1000,o_c3_strict_context,strict-candidate,5,5,0,tfidf_logreg,passed,tfidf_logreg_mf60000_ngram1x2_c1p0,0.44155844155844154,0.3867122408944781,0.39531191880546257,0.44155844155844154,0.10931766646052361,0.1752486184623295,round18/outputs/o_classifier/o_c3_context_k5_grid_logreg_bm25_char_rrf_top1000/o_c3_context_k5_grid_logreg_bm25_char_rrf_top1000_tfidf_logreg_mf60000_ngram1x2_c1p0_metrics.json
