status,selection_basis,w_ce_score,w_embedding_score,w_hand_score,w_source_rank,w_ce_rank,w_embedding_rank,w_hand_rank,cv_claims_with_evidence,cv_macro_recall@1,cv_micro_recall@1,cv_hit_any@1,cv_evidence_f@1,cv_macro_recall@3,cv_micro_recall@3,cv_hit_any@3,cv_evidence_f@3,cv_macro_recall@5,cv_micro_recall@5,cv_hit_any@5,cv_evidence_f@5,cv_macro_recall@10,cv_micro_recall@10,cv_hit_any@10,cv_evidence_f@10,cv_macro_recall@64,cv_micro_recall@64,cv_hit_any@64,cv_evidence_f@64,cv_macro_recall@100,cv_micro_recall@100,cv_hit_any@100,cv_evidence_f@100,cv_macro_recall@500,cv_micro_recall@500,cv_hit_any@500,cv_evidence_f@500,dev_claims_with_evidence,dev_macro_recall@1,dev_micro_recall@1,dev_hit_any@1,dev_evidence_f@1,dev_macro_recall@3,dev_micro_recall@3,dev_hit_any@3,dev_evidence_f@3,dev_macro_recall@5,dev_micro_recall@5,dev_hit_any@5,dev_evidence_f@5,dev_macro_recall@10,dev_micro_recall@10,dev_hit_any@10,dev_evidence_f@10,dev_macro_recall@64,dev_micro_recall@64,dev_hit_any@64,dev_evidence_f@64,dev_macro_recall@100,dev_micro_recall@100,dev_hit_any@100,dev_evidence_f@100,dev_macro_recall@500,dev_micro_recall@500,dev_hit_any@500,dev_evidence_f@500
strict-candidate,train_kfold,0.25,0.5,0.0,0.0,0.25,0.0,0.0,245.6,0.09131978319783199,0.07488186155549371,0.2516144018583043,0.12481389303688957,0.19602947845804988,0.16388817360240826,0.41936618549858967,0.17550358308247804,0.24776854156296668,0.21577566418990038,0.4943089430894309,0.17146642489748515,0.3249651014877496,0.2940898711186792,0.583919031027045,0.14498375447902576,0.5074263591615508,0.48157331407434123,0.7590077982412478,0.04766251881839205,0.5404792876500194,0.5169754078890679,0.7850771528123445,0.0334206736721646,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11504329004329003,0.0835030549898167,0.2662337662337662,0.14826839826839827,0.23874458874458873,0.1955193482688391,0.487012987012987,0.204700061842919,0.2962121212121212,0.25865580448065173,0.5584415584415584,0.19746959389816535,0.3958874458874459,0.3543788187372709,0.6753246753246753,0.167240984124101,0.5816017316017316,0.5498981670061099,0.8441558441558441,0.05176737233947116,0.6143939393939394,0.5845213849287169,0.8701298701298701,0.03591988343472038,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.5,0.0,0.0,0.0,0.25,0.0,245.6,0.09131978319783199,0.07488186155549371,0.2516144018583043,0.12481389303688957,0.19535031248271667,0.16339097017853382,0.41773685083789613,0.17490604976020604,0.24840473425142412,0.21623983812155245,0.4951186328189813,0.17188323443973022,0.32455693822244347,0.29386089345539573,0.5863580554172889,0.14484770005725706,0.5081438526630164,0.4815761871849646,0.7606338145014103,0.0476642297101748,0.539908522758697,0.5164782044651935,0.7858901609424257,0.03338918140045917,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11829004329004328,0.0855397148676171,0.2727272727272727,0.1525974025974026,0.23658008658008656,0.1934826883910387,0.487012987012987,0.20253555967841683,0.2962121212121212,0.25865580448065173,0.5584415584415584,0.19746959389816535,0.39426406926406926,0.35234215885947046,0.6753246753246753,0.16631334033931436,0.5803030303030302,0.5478615071283096,0.8441558441558441,0.05157915475994923,0.6143939393939394,0.5845213849287169,0.8701298701298701,0.03591988343472038,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.5,0.0,0.25,0.0,0.0,0.0,245.6,0.09131978319783199,0.07488186155549371,0.2516144018583043,0.12481389303688957,0.19476583153586638,0.16316517463981034,0.4185531773685084,0.1744961640870053,0.2491271500470107,0.216489212368331,0.497567612410818,0.17214565671409873,0.32434079973452795,0.29386830032147077,0.583919031027045,0.14481478833096553,0.5086323212211713,0.48231552135944444,0.7606338145014103,0.04773502225483495,0.5406425529561418,0.517210702006715,0.7850771528123445,0.03343622274893816,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11796536796536797,0.0855397148676171,0.2727272727272727,0.15216450216450217,0.23874458874458873,0.1955193482688391,0.487012987012987,0.204700061842919,0.2962121212121212,0.25865580448065173,0.5584415584415584,0.19746959389816535,0.3971861471861472,0.3564154786150713,0.6753246753246753,0.16810678498990186,0.5803030303030302,0.5478615071283096,0.8441558441558441,0.05157915475994923,0.6143939393939394,0.5845213849287169,0.8701298701298701,0.03591988343472038,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.5,0.0,0.0,0.0,0.0,0.25,245.6,0.09131978319783199,0.07488186155549371,0.2516144018583043,0.12481389303688957,0.19476583153586638,0.16316517463981034,0.4185531773685084,0.1744961640870053,0.24831082351639844,0.2162539182506839,0.49675128588020573,0.17187354787056136,0.32434079973452795,0.29386830032147077,0.583919031027045,0.14481478833096553,0.5086323212211713,0.48231552135944444,0.7606338145014103,0.04773502225483495,0.5408058182622643,0.517445996124362,0.7850771528123445,0.033451771825711726,0.5924624744206626,0.5725928710588313,0.8282263149162103,0.007630645937168797,154.0,0.11958874458874459,0.08757637474541752,0.2792207792207792,0.15476190476190477,0.24036796536796537,0.1975560081466395,0.4935064935064935,0.20655534941249226,0.2981601731601731,0.25865580448065173,0.551948051948052,0.19802618016903734,0.3971861471861472,0.3564154786150713,0.6753246753246753,0.16810678498990186,0.5816017316017316,0.5498981670061099,0.8441558441558441,0.05176737233947116,0.6143939393939394,0.5845213849287169,0.8701298701298701,0.03591988343472038,0.6604978354978355,0.6374745417515275,0.8896103896103896,0.008067961879147751
strict-candidate,train_kfold,0.0,0.0,0.0,0.0,0.75,0.25,0.0,245.6,0.09035202698965765,0.07415715641307719,0.2491687406669985,0.12445683313975997,0.19288479619490073,0.16337764498260615,0.41449477351916375,0.17435280918406854,0.24591045849234003,0.21651394700872095,0.48778496764559487,0.1715387949992231,0.33058254521320724,0.2973073321641476,0.5904330512692881,0.14665266330373347,0.518009014988109,0.4932802571602414,0.7720391571262651,0.04880166752268686,0.549801393728223,0.5261858427142394,0.7964725402356064,0.03401278758788,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.09502164502164502,0.07128309572301425,0.22727272727272727,0.12294372294372294,0.23441558441558444,0.1955193482688391,0.487012987012987,0.20343228200371058,0.2987012987012987,0.25865580448065173,0.5584415584415584,0.19807771593485882,0.39826839826839827,0.35234215885947046,0.6623376623376623,0.1664331339656015,0.5771645021645022,0.5478615071283096,0.8311688311688312,0.05156221307463469,0.6196969696969697,0.5865580448065173,0.8766233766233766,0.0360448767680602,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.25,0.0,0.0,0.25,245.6,0.09066191029257231,0.07342975834059236,0.2467164426746308,0.12372081190199657,0.19255472595542283,0.1624822830359401,0.41122946739671484,0.1735840463943998,0.2513323378131741,0.2176753949599139,0.4910668657706985,0.1732009133502414,0.33169697472484927,0.2991861461720714,0.5847287207565953,0.14750273132652425,0.5128034953818925,0.48715865434228006,0.7639024390243903,0.04821044519131821,0.5435988053758088,0.5203841900203994,0.7883325037332006,0.03363933441882854,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3074675324675325,0.26883910386965376,0.564935064935065,0.20540094825809113,0.3880952380952381,0.34623217922606925,0.6558441558441559,0.16343764460647578,0.5836580086580087,0.5539714867617108,0.8441558441558441,0.05214095696888661,0.6121212121212121,0.5885947046843177,0.8636363636363636,0.03616354594853848,0.6604978354978355,0.6374745417515275,0.8896103896103896,0.008067961879147751
strict-candidate,train_kfold,0.25,0.25,0.0,0.0,0.0,0.0,0.5,245.6,0.09066191029257231,0.07342975834059236,0.2467164426746308,0.12372081190199657,0.19255472595542283,0.16247910091138018,0.41122946739671484,0.1735840463943998,0.25106022896963665,0.21742663874100843,0.49025053924008627,0.17299683171758834,0.3319690835683867,0.29942144028971845,0.5855450472872076,0.1476283200235415,0.5128034953818925,0.48715865434228006,0.7639024390243903,0.04821044519131821,0.5437620706819313,0.5206194841380464,0.7883325037332006,0.03365488349560211,0.5924624744206626,0.5725928710588313,0.8282263149162103,0.007630645937168797,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.2409090909090909,0.1975560081466395,0.4805194805194805,0.20686456400742115,0.3090909090909091,0.2708757637474542,0.5714285714285714,0.20684394970109257,0.3878787878787879,0.34419551934826886,0.6558441558441559,0.16265509382392498,0.5820346320346321,0.5519348268839104,0.8441558441558441,0.051949971483783476,0.6104978354978355,0.5865580448065173,0.8636363636363636,0.03603867082366335,0.6637445887445887,0.639511201629328,0.8896103896103896,0.008093832422946583
strict-candidate,train_kfold,0.25,0.25,0.0,0.5,0.0,0.0,0.0,245.6,0.09025540622753167,0.07318762758998702,0.24590343454454952,0.12317880648194238,0.1921482218903822,0.16223383583097115,0.41122946739671484,0.1732588431423673,0.2513865383551795,0.21790484500703572,0.4918798739007798,0.1733228645697536,0.33112720535368617,0.2987024048494554,0.5830993860959017,0.14725838643409575,0.5125324926718655,0.4869102071373111,0.7639024390243903,0.0481861762919128,0.5449858967977435,0.5211103711075571,0.7891488302638129,0.03368699157232828,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3094155844155844,0.26883910386965376,0.5714285714285714,0.20595753452896312,0.38755411255411254,0.34623217922606925,0.6623376623376623,0.16336628739226142,0.5823593073593074,0.5519348268839104,0.8441558441558441,0.051952739389364684,0.6121212121212121,0.5885947046843177,0.8636363636363636,0.03616354594853848,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.0,0.25,0.0,0.25,245.6,0.09066273989270504,0.07367851455949784,0.24753276920524306,0.12383054034621979,0.1913750345666722,0.16149450165649143,0.41041645926663345,0.17249715170621094,0.2514815552237155,0.21767622415244509,0.49025053924008627,0.1732597043463146,0.3292556274542337,0.2967326861610832,0.5798506719761075,0.14632093828410403,0.5124085504120347,0.486674294991791,0.7638991206238593,0.04816266883307914,0.5441695702671312,0.5208521163097282,0.7891455118632819,0.03367082669053397,0.5924624744206626,0.5725928710588313,0.8282263149162103,0.007630645937168797,154.0,0.11893939393939394,0.08961303462321792,0.2857142857142857,0.15476190476190477,0.2409090909090909,0.1975560081466395,0.4805194805194805,0.20686456400742115,0.3074675324675325,0.26883910386965376,0.564935064935065,0.20540094825809113,0.3895021645021645,0.34623217922606925,0.6623376623376623,0.16358273760871164,0.5836580086580087,0.5539714867617108,0.8441558441558441,0.05214095696888661,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.03603986011056693,0.6604978354978355,0.6374745417515275,0.8896103896103896,0.008067961879147751
strict-candidate,train_kfold,0.25,0.75,0.0,0.0,0.0,0.0,0.0,245.6,0.08826840329627786,0.07268394660161304,0.24429069188651073,0.1209620043139207,0.19222404734251425,0.1609341823989511,0.4120325203252032,0.17233421824014158,0.24433239311984956,0.21285104571050123,0.4918632818981251,0.16911087671615296,0.3214920081853879,0.29021408973982854,0.5855483656877385,0.14314929404426666,0.5062451191858857,0.478893749510693,0.7581981085116973,0.04740436526102172,0.5391761517615177,0.5155062381190321,0.7858901609424257,0.03332687691107653,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.10346320346320347,0.07331975560081466,0.23376623376623376,0.1316017316017316,0.23387445887445887,0.19144602851323828,0.4805194805194805,0.2000618429189858,0.28300865800865804,0.24643584521384929,0.551948051948052,0.18782209853638426,0.3978354978354978,0.3564154786150713,0.6883116883116883,0.16823047082787343,0.5764069264069264,0.5417515274949084,0.8441558441558441,0.051014502021383454,0.6117965367965368,0.5804480651731161,0.8701298701298701,0.035672511758777274,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
